Event Name Clean,Date,Start Time,End Time,Day of Week,Month,Month Number,Season,Week of Year,Is Weekend,Start Hour,Time of Day,Duration (hours),Duration Category,Artists,Number of Artists,Has Artists,Venue,Venue Clean,Is TBA Venue,Number of guests attending,Attendance Category,Has Attendance Data,Genres,Primary Genre,Number of Genres,Genre IDs,Event URL,Promoter/Series,Is Cancelled
NYE RECOVERY SHOWCASE,2025-01-04,2025-01-04 21:30:00,2025-01-05 03:00:00,Saturday,January,1,Winter,1,True,21,Evening (5pm-10pm),5.5,Medium (3-6 hrs),"NIGHT BEGINS, SASS.",2,True,The Red Room,The Red Room,False,0,No data,False,"Bass, Electronica",Bass,2,"12, 75",/events/2073205,Other,False
Gorg-O-Mish Presents: Paralegally Blonde & Kardano,2025-01-05,2025-01-05 02:00:00,2025-01-05 08:00:00,Sunday,January,1,Winter,1,True,2,Late Night (10pm-6am),6.0,Long (6+ hrs),Kardano,1,True,Gorg-O-Mish,Gorg-O-Mish,False,0,No data,False,"Techno, Minimal",Techno,2,"5, 18",/events/2073202,Gorg-O-Mish Presents,False
VANTEK PRESENTS: R.A.D,2025-01-10,2025-01-10 22:00:00,2025-01-11 06:00:00,Friday,January,1,Winter,2,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),Fizch,1,True,TBA - Vancouver,Vancouver,True,450,Very Large (300+),True,Techno,Techno,1,5,/events/2068848,VANTEK PRESENTS,False
DARK RAVE ft Krista Bourgeois,2025-01-11,2025-01-11 22:00:00,2025-01-12 04:00:00,Saturday,January,1,Winter,2,True,22,Late Night (10pm-6am),6.0,Long (6+ hrs),"Krista Bourgeois, Fizch, Marist, MED!C",4,True,Industrial 236,Industrial 236,False,235,Large (150-300),True,Techno,Techno,1,5,/events/2056318,Other,False
Qrion at Celebrities - Vancouver,2025-01-11,2025-01-11 22:00:00,2025-01-12 03:00:00,Saturday,January,1,Winter,2,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),Qrion,1,True,Celebrities Night Club,Celebrities Night Club,False,32,Small (0-50),True,"Techno, Electronica",Techno,2,"5, 75",/events/2073196,Qrion at Celebrities,False
Holi Service,2025-01-11,2025-01-11 09:00:00,2025-01-11 12:30:00,Saturday,January,1,Winter,2,True,9,Morning (6am-12pm),3.5,Medium (3-6 hrs),,0,False,TBA - Vancouver,Vancouver,True,21,Small (0-50),True,Acid,Acid,1,32,/events/2078509,Other,False
presented by No Point Music: Gate of Babylon,2025-01-11,2025-01-11 23:00:00,2025-01-12 05:00:00,Saturday,January,1,Winter,2,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),Gentt,1,True,Platform9,Platform9,False,5,Small (0-50),True,House,House,1,6,/events/2077377,presented by No Point Music,False
"VANTEK & DOLLY: ZDBT, CATARIA, Dairy Free, MASSIMO",2025-01-17,2025-01-17 23:00:00,2025-01-18 05:00:00,Friday,January,1,Winter,3,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),"ZDBT, Cataria, Dairy Free",3,True,Vantek Warehouse,Vantek Warehouse,False,101,Medium (50-150),True,Techno,Techno,1,5,/events/2076363,VANTEK & DOLLY,False
Patrick Russell (NYC) / Nancy Dru / DJ Hockey / Vasho,2025-01-17,2025-01-17 23:00:00,2025-01-18 05:00:00,Friday,January,1,Winter,3,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),"Patrick Russell, Nancy Dru, DJ Hockey, Vasho, cy.matic (visuals)",5,True,TBA - East Vancouver,East Vancouver,True,92,Medium (50-150),True,"Techno, IDM",Techno,2,"5, 46",/events/2058998,Other,False
BOYS BOYS BOYS,2025-01-17,2025-01-17 22:00:00,2025-01-18 03:00:00,Friday,January,1,Winter,3,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Luca Fernandez, Kota",2,True,The Birdhouse,The Birdhouse,False,1,Small (0-50),True,"Club, Electronica",Club,2,"39, 75",/events/2076520,Other,False
Mark Farina with DJ Heather,2025-01-18,2025-01-18 21:00:00,2025-01-19 02:00:00,Saturday,January,1,Winter,3,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"Mark Farina, DJ Heather",2,True,Hollywood Theatre,Hollywood Theatre,False,662,Very Large (300+),True,"House, Deep House",House,2,"6, 20",/events/2049326,Other,False
"Dane's Dance Emporium: Vol 17 with Dane, Kozue & dj_2button",2025-01-18,2025-01-18 23:00:00,2025-01-19 03:00:00,Saturday,January,1,Winter,3,True,23,Late Night (10pm-6am),4.0,Medium (3-6 hrs),"Dane, Kozue, dj_2button",3,True,TBA - Vancouver,Vancouver,True,233,Large (150-300),True,,Unknown,0,,/events/2071298,Dane's Dance Emporium,False
VANTEK X FNCTN: Chaz Moloney,2025-01-18,2025-01-18 22:00:00,2025-01-19 06:00:00,Saturday,January,1,Winter,3,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),"Chaz Moloney, AWood, POPU, DK PAU",4,True,Vantek Warehouse,Vantek Warehouse,False,175,Large (150-300),True,Techno,Techno,1,5,/events/2065201,VANTEK X FNCTN,False
Maple Secret Society,2025-01-18,2025-01-18 22:00:00,2025-01-19 05:00:00,Saturday,January,1,Winter,3,True,22,Late Night (10pm-6am),7.0,Long (6+ hrs),Mario DV,1,True,Caveman,Caveman,False,73,Medium (50-150),True,"House, Minimal Techno",House,2,"6, 77",/events/2077580,Other,False
Chirp and Crawl,2025-01-18,2025-01-18 22:00:00,2025-01-19 03:00:00,Saturday,January,1,Winter,3,True,22,Late Night (10pm-6am),5.0,Medium (3-6 hrs),"Njoki Njoki, enereph, mikubat, Saghiaa",4,True,Red Gate Arts Society,Red Gate Arts Society,False,72,Medium (50-150),True,"Experimental, Broken Beat",Experimental,2,"25, 37",/events/2065065,Other,False
Space Dock Lounge,2025-01-18,2025-01-18 22:00:00,2025-01-19 04:00:00,Saturday,January,1,Winter,3,True,22,Late Night (10pm-6am),6.0,Long (6+ hrs),stargirl,1,True,Japanese Language School,Japanese Language School,False,28,Small (0-50),True,"Techno, Psytrance",Techno,2,"5, 76",/events/2070681,Other,False
Room 909: Vancouver,2025-01-18,2025-01-18 22:00:00,2025-01-19 04:00:00,Saturday,January,1,Winter,3,True,22,Late Night (10pm-6am),6.0,Long (6+ hrs),"Brunch.wav, Gentt, Neuro (EMC)",3,True,TBA - 390 Industrial,390 Industrial,True,11,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2072439,Room 909,False
RESEt,2025-01-18,2025-01-18 23:00:00,2025-01-19 06:00:00,Saturday,January,1,Winter,3,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),,0,False,TBA - 455 GRANVILLE ST,455 GRANVILLE ST,True,2,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2079157,Other,False
Gorg-O-Mish Presents: Reezy & Sarana,2025-01-18,2025-01-18 02:00:00,2025-01-19 08:00:00,Saturday,January,1,Winter,3,True,2,Late Night (10pm-6am),30.0,Long (6+ hrs),,0,False,Gorg-O-Mish,Gorg-O-Mish,False,1,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2081649,Gorg-O-Mish Presents,False
Ravenscoon – Glass Orchid Tour Part Two,2025-01-18,2025-01-18 21:00:00,2025-01-19 03:00:00,Saturday,January,1,Winter,3,True,21,Evening (5pm-10pm),6.0,Long (6+ hrs),,0,False,The Red Room,The Red Room,False,0,No data,False,"Drum & Bass, Bass",Drum & Bass,2,"4, 12",/events/2081687,Other,False
Gorg-O-Mish Presents: Zeyda & Luca Fernandez,2025-01-19,2025-01-19 02:00:00,2025-01-19 08:00:00,Sunday,January,1,Winter,3,True,2,Late Night (10pm-6am),6.0,Long (6+ hrs),"Zeyda, Luca Fernandez",2,True,Gorg-O-Mish,Gorg-O-Mish,False,2,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2081653,Gorg-O-Mish Presents,False
Jamie xx,2025-01-20,2025-01-20 19:00:00,2025-01-20 23:00:00,Monday,January,1,Winter,4,False,19,Evening (5pm-10pm),4.0,Medium (3-6 hrs),Jamie xx,1,True,Pacific Coliseum,Pacific Coliseum,False,11,Small (0-50),True,,Unknown,0,,/events/2080626,Other,False
"VTK157: C-Star, HEU, MAVRI GATA",2025-01-24,2025-01-24 23:59:00,2025-01-25 06:00:00,Friday,January,1,Winter,4,True,23,Late Night (10pm-6am),6.016666666666667,Long (6+ hrs),"C-Star, HEU (CA)",2,True,Vantek Warehouse,Vantek Warehouse,False,79,Medium (50-150),True,Techno,Techno,1,5,/events/2076353,VTK157,False
"VTK158: Afrooz, LLUGCHA, Sotto Voce",2025-01-24,2025-01-24 22:00:00,2025-01-25 04:00:00,Friday,January,1,Winter,4,True,22,Late Night (10pm-6am),6.0,Long (6+ hrs),"Afrooz, Sotto Voce",2,True,Industrial 236,Industrial 236,False,72,Medium (50-150),True,"Techno, House",Techno,2,"5, 6",/events/2076315,VTK158,False
Teflon Spine Fundraiser 2025,2025-01-24,2025-01-24 19:00:00,2025-01-24 23:59:00,Friday,January,1,Winter,4,True,19,Evening (5pm-10pm),4.983333333333333,Medium (3-6 hrs),"RITUAL PURIFICATION, Sainerine, YMGER",3,True,TBA - venue released to ticketholders,venue released to ticketholders,True,54,Medium (50-150),True,"Experimental, Noise",Experimental,2,"25, 54",/events/2075280,Other,False
"Tumblin' presents: Worldwide Wojtek, all night long",2025-01-24,2025-01-24 20:00:00,2025-01-25 02:30:00,Friday,January,1,Winter,4,True,20,Evening (5pm-10pm),6.5,Long (6+ hrs),Worldwide Wojtek,1,True,The Well Studios,The Well Studios,False,18,Small (0-50),True,"House, Jazz",House,2,"6, 29",/events/2072494,Tumblin' presents,False
"Raphael, Peto & Namba",2025-01-24,2025-01-24 21:00:00,2025-01-25 02:00:00,Friday,January,1,Winter,4,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),,0,False,TBA - Astoria Pub,Astoria Pub,True,2,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2086351,Other,False
VANTEK | FOG | RTR: ogtrues,2025-01-25,2025-01-25 23:00:00,2025-01-26 06:00:00,Saturday,January,1,Winter,4,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"ogtrues, Behrad Tehrani, DK PAU, HiROSE, Lucci (CA), Angel Science",6,True,Vantek Warehouse,Vantek Warehouse,False,246,Large (150-300),True,"Techno, Minimal Techno",Techno,2,"5, 77",/events/2053798,VANTEK | FOG | RTR,False
ZAP,2025-01-25,2025-01-25 23:00:00,2025-01-26 04:00:00,Saturday,January,1,Winter,4,True,23,Late Night (10pm-6am),5.0,Medium (3-6 hrs),ZAP! Deejays,1,True,TBA - Vancouver,Vancouver,True,27,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2080756,Other,False
UBC ELECTRONICA PRESENTS: SOULACE (FREE RSVP),2025-01-25,2025-01-25 22:30:00,2025-01-26 02:30:00,Saturday,January,1,Winter,4,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),Anarchique,1,True,The Astoria,The Astoria,False,8,Small (0-50),True,"Garage, Deep House",Garage,2,"13, 20",/events/2088591,UBC ELECTRONICA PRESENTS,False
PARALLEL,2025-01-25,2025-01-25 23:00:00,2025-01-26 05:00:00,Saturday,January,1,Winter,4,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),Marist,1,True,TBA - 455 GRANVILLE ST,455 GRANVILLE ST,True,1,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2088331,Other,False
Gorg-O-Mish Presents: Neuro & Ev O'Reilly,2025-01-25,2025-01-25 02:00:00,2025-01-26 08:00:00,Saturday,January,1,Winter,4,True,2,Late Night (10pm-6am),30.0,Long (6+ hrs),Ev O'Reilly,1,True,Gorg-O-Mish,Gorg-O-Mish,False,0,No data,False,"Techno, House",Techno,2,"5, 6",/events/2088362,Gorg-O-Mish Presents,False
Mary Ocher,2025-01-26,2025-01-26 19:00:00,2025-01-26 23:00:00,Sunday,January,1,Winter,4,True,19,Evening (5pm-10pm),4.0,Medium (3-6 hrs),,0,False,"TBA - Green Auto Body, 1822 Pandora Street","Green Auto Body, 1822 Pandora Street",True,0,No data,False,"Techno, Experimental",Techno,2,"5, 25",/events/2088342,Other,False
Gorg-O-Mish Presents: Sivz & Paul Franc,2025-01-26,2025-01-26 02:00:00,2025-01-27 08:00:00,Sunday,January,1,Winter,4,True,2,Late Night (10pm-6am),30.0,Long (6+ hrs),"Sivz, Paul Franc",2,True,Gorg-O-Mish,Gorg-O-Mish,False,0,No data,False,"Techno, Tech House",Techno,2,"5, 15",/events/2088367,Gorg-O-Mish Presents,False
"VTK 159: DK PAU B2B 1ZERO, DAVID ALCANIZ",2025-01-31,2025-01-31 23:00:00,2025-02-01 06:00:00,Friday,January,1,Winter,5,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"DK PAU, David Alcaniz",2,True,Vantek Warehouse,Vantek Warehouse,False,183,Large (150-300),True,Techno,Techno,1,5,/events/2081535,VTK 159,False
0xy's Dance Party,2025-01-31,2025-01-31 21:00:00,2025-02-01 03:00:00,Friday,January,1,Winter,5,True,21,Evening (5pm-10pm),6.0,Long (6+ hrs),0xydr0p,1,True,Palm Street Studios,Palm Street Studios,False,80,Medium (50-150),True,"House, Garage",House,2,"6, 13",/events/2076323,Other,False
Disco Tehran,2025-01-31,2025-01-31 21:00:00,2025-02-01 02:00:00,Friday,January,1,Winter,5,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"MIRZA, LIONESSA, mikubat",3,True,The Birdhouse,The Birdhouse,False,21,Small (0-50),True,"Disco, Electronica",Disco,2,"21, 75",/events/2073213,Other,False
"Discothèque with Xtine, Sweetie Time, Heissohot & Notevendown",2025-01-31,2025-01-31 22:00:00,2025-02-01 04:00:00,Friday,January,1,Winter,5,True,22,Late Night (10pm-6am),6.0,Long (6+ hrs),,0,False,TBA - 150 E 3rd - Mount Pleasant,150 E 3rd - Mount Pleasant,True,17,Small (0-50),True,"Techno, Deep House",Techno,2,"5, 20",/events/2087598,Other,False
"VTK160: DVS1 (Extended Set), Overland, PØPU",2025-02-01,2025-02-01 22:00:00,2025-02-02 06:00:00,Saturday,February,2,Winter,5,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),"DVS1, Overland, POPU",3,True,Industrial 236,Industrial 236,False,632,Very Large (300+),True,Techno,Techno,1,5,/events/2048045,VTK160,False
Letter Box presents: Haruka (3 hours set) + Kozue + Toi Whakairo + Genki Nishida,2025-02-01,2025-02-01 23:00:00,2025-02-02 05:00:00,Saturday,February,2,Winter,5,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),"Haruka, Kozue",2,True,TBA - Vancouver,Vancouver,True,120,Medium (50-150),True,"Techno, Acid",Techno,2,"5, 32",/events/2054180,Letter Box presents,False
The Crystal Method & Orbital (dj set) - Vancouver,2025-02-01,2025-02-01 20:00:00,2025-02-02 01:00:00,Saturday,February,2,Winter,5,True,20,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"Orbital, The Crystal Method, Rennie Foster",3,True,The Vogue Theatre,The Vogue Theatre,False,94,Medium (50-150),True,"Ambient, Electronica",Ambient,2,"19, 75",/events/2080653,The Crystal Method & Orbital (dj set),False
"Soundculture Showcase: Honeydrip with Michael Red, Donna Dada, Feelgood, Mursa",2025-02-01,2025-02-01 22:00:00,2025-02-02 04:00:00,Saturday,February,2,Winter,5,True,22,Late Night (10pm-6am),6.0,Long (6+ hrs),"Honeydrip, Michael Red, Donna Dada, Feelgood",4,True,"TBA - The Deli, 908 Odlum","The Deli, 908 Odlum",True,95,Medium (50-150),True,"Bass, Dancehall",Bass,2,"12, 40",/events/2067853,Soundculture Showcase,False
Vancouver Loves Drum & Bass,2025-02-01,2025-02-01 22:00:00,2025-02-02 02:00:00,Saturday,February,2,Winter,5,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),,0,False,Fortune Sound Club,Fortune Sound Club,False,22,Small (0-50),True,"Drum & Bass, Jungle",Drum & Bass,2,"4, 49",/events/2079180,Other,False
"Jack J ""Blue Desert"" Release Party",2025-02-01,2025-02-01 20:00:00,2025-02-02 02:00:00,Saturday,February,2,Winter,5,True,20,Evening (5pm-10pm),6.0,Long (6+ hrs),Jack Jutson,1,True,Hollywood Theatre,Hollywood Theatre,False,16,Small (0-50),True,"Pop, Balearic",Pop,2,"30, 35",/events/2076535,Other,False
Only Friends,2025-02-01,2025-02-01 22:00:00,2025-02-02 02:00:00,Saturday,February,2,Winter,5,True,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),"EtOH, Xiumei, Ivy Hollivana",3,True,The Cobalt,The Cobalt,False,10,Small (0-50),True,"Techno, Experimental",Techno,2,"5, 25",/events/2092865,Other,False
Liminal Space Ep.11,2025-02-01,2025-02-01 16:00:00,2025-02-01 18:00:00,Saturday,February,2,Winter,5,True,16,Afternoon (12pm-5pm),2.0,Short (< 3 hrs),"Bronsön, Xiumei",2,True,The Beaumont Studios,The Beaumont Studios,False,5,Small (0-50),True,Techno,Techno,1,5,/events/2078364,Other,False
Synesthesia #12 @Bside Radio,2025-02-01,2025-02-01 18:00:00,2025-02-01 20:00:00,Saturday,February,2,Winter,5,True,18,Evening (5pm-10pm),2.0,Short (< 3 hrs),The Ryze,1,True,The Beaumont Studios,The Beaumont Studios,False,2,Small (0-50),True,"House, Afro House",House,2,"6, 72",/events/2093801,Other,False
Gorg-O-Mish Presents: Simon Neviani & Joel West,2025-02-01,2025-02-01 02:00:00,2025-02-02 08:00:00,Saturday,February,2,Winter,5,True,2,Late Night (10pm-6am),30.0,Long (6+ hrs),"Simon Neviani, Joel West",2,True,Gorg-O-Mish,Gorg-O-Mish,False,0,No data,False,"Techno, House",Techno,2,"5, 6",/events/2092700,Gorg-O-Mish Presents,False
Gorg-O-Mish Presents: Jason Brauer & Danish,2025-02-02,2025-02-02 02:00:00,2025-02-03 08:00:00,Sunday,February,2,Winter,5,True,2,Late Night (10pm-6am),30.0,Long (6+ hrs),,0,False,Gorg-O-Mish,Gorg-O-Mish,False,0,No data,False,"Techno, House",Techno,2,"5, 6",/events/2092712,Gorg-O-Mish Presents,False
"BREAK CLUB - SOTTO VOCE, ALIE B2B NIC",2025-02-06,2025-02-06 22:00:00,2025-02-07 02:00:00,Thursday,February,2,Winter,6,False,22,Late Night (10pm-6am),4.0,Medium (3-6 hrs),,0,False,Fortune Sound Club,Fortune Sound Club,False,115,Medium (50-150),True,"Deep House, Afro Tech",Deep House,2,"20, 78",/events/2093748,BREAK CLUB,False
Lil_Babeee_4EVA / Tough Sell / Ummer Singh,2025-02-06,2025-02-06 20:00:00,2025-02-06 23:30:00,Thursday,February,2,Winter,6,False,20,Evening (5pm-10pm),3.5,Medium (3-6 hrs),,0,False,Red Gate,Red Gate,False,1,Small (0-50),True,"Experimental, Pop",Experimental,2,"25, 30",/events/2076519,Other,False
Dice Thursdays with Hubbz and Nick Wisdom,2025-02-06,2025-02-06 20:00:00,2025-02-07 01:00:00,Thursday,February,2,Winter,6,False,20,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"Hubbz, Nick Wisdom",2,True,"TBA -  Cuchillo Basement, 261 Powell St, Vancouver, BC V6A 2Z1","Cuchillo Basement, 261 Powell St, Vancouver, BC V6A 2Z1",True,1,Small (0-50),True,"Disco, Funk / Soul",Disco,2,"21, 26",/events/2095907,Other,False
Cookin' with D.Jon feat. raen,2025-02-06,2025-02-06 20:30:00,2025-02-06 22:30:00,Thursday,February,2,Winter,6,False,20,Evening (5pm-10pm),2.0,Short (< 3 hrs),raen,1,True,The Beaumont Studios,The Beaumont Studios,False,1,Small (0-50),True,"Progressive House, House",Progressive House,2,"1, 6",/events/2096685,Other,False
"VTK161: LULLABY - Evan Espinoza, LLUGCHA, DOMUS LATROS, MANFLI",2025-02-07,2025-02-07 23:00:00,2025-02-08 06:00:00,Friday,February,2,Winter,6,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),Evan Espinoza,1,True,Vantek Warehouse,Vantek Warehouse,False,371,Very Large (300+),True,Techno,Techno,1,5,/events/2082761,VTK161,False
Lloyd & DJ D.Dee,2025-02-07,2025-02-07 23:00:00,2025-02-08 03:00:00,Friday,February,2,Winter,6,True,23,Late Night (10pm-6am),4.0,Medium (3-6 hrs),"Lloydski, DJ D.Dee",2,True,TBA - Vancouver,Vancouver,True,211,Large (150-300),True,,Unknown,0,,/events/2074927,Other,False
Hodge [Bristol-UK] / LVT / ÆNNIÆ / Proche / Kai Bradley,2025-02-07,2025-02-07 22:00:00,2025-02-08 04:30:00,Friday,February,2,Winter,6,True,22,Late Night (10pm-6am),6.5,Long (6+ hrs),"Hodge, LVT, ÆNNIÆ, Kai Bradley, proche",5,True,TBA - East Vancouver,East Vancouver,True,89,Medium (50-150),True,"Techno, IDM",Techno,2,"5, 46",/events/2073279,Hodge [Bristol,False
Casual Chemistry,2025-02-07,2025-02-07 21:00:00,2025-02-08 02:00:00,Friday,February,2,Winter,6,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"dj_2button, Ev O'Reilly, miniski",3,True,The Hargrove,The Hargrove,False,60,Medium (50-150),True,House,House,1,6,/events/2075130,Other,False
Kemmy Gaff PRESENTS: BUNKER SESSIONS VOL. 2,2025-02-07,2025-02-07 23:00:00,2025-02-08 05:00:00,Friday,February,2,Winter,6,True,23,Late Night (10pm-6am),6.0,Long (6+ hrs),,0,False,TBA - Vancouver,Vancouver,True,25,Small (0-50),True,Techno,Techno,1,5,/events/2078485,Kemmy Gaff PRESENTS,False
Van Shame Fest presents Enigma Pulse IV,2025-02-07,2025-02-07 22:30:00,2025-02-08 02:00:00,Friday,February,2,Winter,6,True,22,Late Night (10pm-6am),3.5,Medium (3-6 hrs),"Njoki Njoki, Brendocha",2,True,Biltmore Cabaret,Biltmore Cabaret,False,16,Small (0-50),True,Techno,Techno,1,5,/events/2061605,Other,False
"LUMEN PRESENTS: Theus Mago, Kevin Shiu, Rasi Z, ARMIX, Aria",2025-02-08,2025-02-08 22:00:00,2025-02-09 06:00:00,Saturday,February,2,Winter,6,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),"Theus Mago, Rasi Z, Kevin Shiu, ARMIX",4,True,Industrial 236,Industrial 236,False,424,Very Large (300+),True,"Techno, House",Techno,2,"5, 6",/events/2065041,LUMEN PRESENTS,False
"VTK162: D.A.V.E The Drummer, Eddie Santini, Fizch",2025-02-08,2025-02-08 23:00:00,2025-02-09 06:00:00,Saturday,February,2,Winter,6,True,23,Late Night (10pm-6am),7.0,Long (6+ hrs),"DAVE the Drummer, Fizch, Eddie Santini",3,True,Vantek Warehouse,Vantek Warehouse,False,141,Medium (50-150),True,Techno,Techno,1,5,/events/2053795,VTK162,False
Mikeylikesit presents Andrey Pushkarev,2025-02-08,2025-02-08 22:00:00,2025-02-09 06:00:00,Saturday,February,2,Winter,6,True,22,Late Night (10pm-6am),8.0,Long (6+ hrs),"Andrey Pushkarev, Ev O'Reilly, Lalo Campo",3,True,Platform9,Platform9,False,134,Medium (50-150),True,Minimal,Minimal,1,18,/events/2077441,Mikeylikesit,False
Public Disco After Dark feat. DJ Hermano,2025-02-08,2025-02-08 21:30:00,2025-02-09 02:30:00,Saturday,February,2,Winter,6,True,21,Evening (5pm-10pm),5.0,Medium (3-6 hrs),"Dj Hermano, DJ Hockey, ZIGGY ZAYA",3,True,The Birdhouse,The Birdhouse,False,28,Small (0-50),True,"Techno, House",Techno,2,"5, 6",/events/2080686,Other,False
